City
İstanbul,MARMARA,Adalar,FATİH-JALE,1
İstanbul,MARMARA,Adalar,FATİH-ALİ,2
İstanbul,MARMARA,Adalar,FATİH-MAHMUT,3
İstanbul,MARMARA,Adalar,FATİH-MANSUR,4
İstanbul,MARMARA,Maltepe,FATİH-KÜRŞAD,5
İstanbul,MARMARA,Maltepe,FATİH-GAMZE,6
İstanbul,MARMARA,Maltepe,FATİH-MİRAÇ,7
İstanbul,MARMARA,Maltepe,FATİH-YÜCEL,8
İstanbul,MARMARA,Beykoz,FATİH-KUBİLAY,9
İstanbul,MARMARA,Beykoz,FATİH-HAYATİ,10
İstanbul,MARMARA,Beykoz,FATİH-BEDRİYE,11
İstanbul,MARMARA,Beykoz,FATİH-MÜGE,12
İstanbul,MARMARA,Kartal,MEHMET-JALE,13
İstanbul,MARMARA,Kartal,MEHMET-ALİ,14
İstanbul,MARMARA,Kartal,MEHMET-MAHMUT,15
İstanbul,MARMARA,Kartal,MEHMET-MANSUR,16
İstanbul,MARMARA,Kartepe,MEHMET-KÜRŞAD,17
İstanbul,MARMARA,Kartepe,MEHMET-GAMZE,18
İstanbul,MARMARA,Kartepe,MEHMET-MİRAÇ,19
İstanbul,MARMARA,Kartepe,MEHMET-YÜCEL,20
Edirne,MARMARA,Uzunköprü,MEHMET-KUBİLAY,21
Edirne,MARMARA,Uzunköprü,MEHMET-HAYATİ,22
Edirne,MARMARA,Uzunköprü,MEHMET-BEDRİYE,23
Edirne,MARMARA,Uzunköprü,MEHMET-MÜGE,24
Edirne,MARMARA,Keşan,ORHAN-JALE,25
Edirne,MARMARA,Keşan,ORHAN-ALİ,26
Edirne,MARMARA,Keşan,ORHAN-MAHMUT,27
Edirne,MARMARA,Keşan,ORHAN-MANSUR,28
Edirne,MARMARA,Lalapaşa,ORHAN-KÜRŞAD,29
Edirne,MARMARA,Lalapaşa,ORHAN-GAMZE,30
Edirne,MARMARA,Lalapaşa,ORHAN-MİRAÇ,31
Edirne,MARMARA,Lalapaşa,ORHAN-YÜCEL,32
Edirne,MARMARA,Süloğlu,ORHAN-KUBİLAY,33
Edirne,MARMARA,Süloğlu,ORHAN-HAYATİ,34
Edirne,MARMARA,Süloğlu,ORHAN-BEDRİYE,35
Edirne,MARMARA,Süloğlu,ORHAN-MÜGE,36
Edirne,MARMARA,Lalapaşa,PINAR-JALE,37
