City
İstanbul,MARMARA,Adalar,İLKER GAMZE,1,İstanbul,MARMARA,Adalar,FATİH JALE,1,194
İstanbul,MARMARA,Adalar,İLKER GAMZE,1,İstanbul,MARMARA,Adalar,FATİH ALİ,2,143
İstanbul,MARMARA,Adalar,İLKER GAMZE,1,İstanbul,MARMARA,Adalar,FATİH MAHMUT,3,403
İstanbul,MARMARA,Adalar,İLKER GAMZE,1,İstanbul,MARMARA,Adalar,FATİH MANSUR,4,62
İstanbul,MARMARA,Adalar,İLKER MİRAÇ,2,İstanbul,MARMARA,Adalar,FATİH JALE,1,136
İstanbul,MARMARA,Adalar,İLKER MİRAÇ,2,İstanbul,MARMARA,Adalar,FATİH ALİ,2,13
İstanbul,MARMARA,Adalar,İLKER MİRAÇ,2,İstanbul,MARMARA,Adalar,FATİH MAHMUT,3,43
İstanbul,MARMARA,Adalar,İLKER MİRAÇ,2,İstanbul,MARMARA,Adalar,FATİH MANSUR,4,126
İstanbul,MARMARA,Adalar,İLKER YÜCEL,3,İstanbul,MARMARA,Adalar,FATİH JALE,1,74
İstanbul,MARMARA,Adalar,İLKER YÜCEL,3,İstanbul,MARMARA,Adalar,FATİH ALİ,2,472
İstanbul,MARMARA,Adalar,İLKER YÜCEL,3,İstanbul,MARMARA,Adalar,FATİH MAHMUT,3,376
İstanbul,MARMARA,Adalar,İLKER YÜCEL,3,İstanbul,MARMARA,Adalar,FATİH MANSUR,4,420
İstanbul,MARMARA,Adalar,İLKER KUBİLAY,4,İstanbul,MARMARA,Adalar,FATİH JALE,1,68
İstanbul,MARMARA,Adalar,İLKER KUBİLAY,4,İstanbul,MARMARA,Adalar,FATİH ALİ,2,19
İstanbul,MARMARA,Adalar,İLKER KUBİLAY,4,İstanbul,MARMARA,Adalar,FATİH MAHMUT,3,255
İstanbul,MARMARA,Adalar,İLKER KUBİLAY,4,İstanbul,MARMARA,Adalar,FATİH MANSUR,4,340
İstanbul,MARMARA,Adalar,İLKER HAYATİ,5,İstanbul,MARMARA,Adalar,FATİH JALE,1,373
İstanbul,MARMARA,Adalar,İLKER HAYATİ,5,İstanbul,MARMARA,Adalar,FATİH ALİ,2,367
İstanbul,MARMARA,Adalar,İLKER HAYATİ,5,İstanbul,MARMARA,Adalar,FATİH MAHMUT,3,70
İstanbul,MARMARA,Adalar,İLKER HAYATİ,5,İstanbul,MARMARA,Adalar,FATİH MANSUR,4,372
İstanbul,MARMARA,Maltepe,İLKER BEDRİYE,6,İstanbul,MARMARA,Maltepe,FATİH KÜRŞAD,5,362
İstanbul,MARMARA,Maltepe,İLKER BEDRİYE,6,İstanbul,MARMARA,Maltepe,FATİH GAMZE,6,150
İstanbul,MARMARA,Maltepe,İLKER BEDRİYE,6,İstanbul,MARMARA,Maltepe,FATİH MİRAÇ,7,154
İstanbul,MARMARA,Maltepe,İLKER BEDRİYE,6,İstanbul,MARMARA,Maltepe,FATİH YÜCEL,8,264
İstanbul,MARMARA,Maltepe,İLKER MÜGE,7,İstanbul,MARMARA,Maltepe,FATİH KÜRŞAD,5,63
İstanbul,MARMARA,Maltepe,İLKER MÜGE,7,İstanbul,MARMARA,Maltepe,FATİH GAMZE,6,25
İstanbul,MARMARA,Maltepe,İLKER MÜGE,7,İstanbul,MARMARA,Maltepe,FATİH MİRAÇ,7,425
İstanbul,MARMARA,Maltepe,İLKER MÜGE,7,İstanbul,MARMARA,Maltepe,FATİH YÜCEL,8,390
İstanbul,MARMARA,Maltepe,SALİM JALE,8,İstanbul,MARMARA,Maltepe,FATİH KÜRŞAD,5,14
İstanbul,MARMARA,Maltepe,SALİM JALE,8,İstanbul,MARMARA,Maltepe,FATİH GAMZE,6,420
İstanbul,MARMARA,Maltepe,SALİM JALE,8,İstanbul,MARMARA,Maltepe,FATİH MİRAÇ,7,372
İstanbul,MARMARA,Maltepe,SALİM JALE,8,İstanbul,MARMARA,Maltepe,FATİH YÜCEL,8,484
İstanbul,MARMARA,Maltepe,SALİM ALİ,9,İstanbul,MARMARA,Maltepe,FATİH KÜRŞAD,5,64
İstanbul,MARMARA,Maltepe,SALİM ALİ,9,İstanbul,MARMARA,Maltepe,FATİH GAMZE,6,53
İstanbul,MARMARA,Maltepe,SALİM ALİ,9,İstanbul,MARMARA,Maltepe,FATİH MİRAÇ,7,323
İstanbul,MARMARA,Maltepe,SALİM ALİ,9,İstanbul,MARMARA,Maltepe,FATİH YÜCEL,8,476
İstanbul,MARMARA,Maltepe,SALİM MAHMUT,10,İstanbul,MARMARA,Maltepe,FATİH KÜRŞAD,5,65
